,level_0,index,Unnamed: 0,Unnamed: 0.1,id,title,keywords,abstract,disciplines,abstracts,num_dis
0,0,0,0,2,1d529337-ac2e-453b-91ee-fe0f4c493dc6,Adaptation of the SCIROCCO Tool and the dimensions to the multidisciplinary practice of the primary care councils Review of the SCIROCCO Tool to the concept of Goal oriented care,"['health policy', 'integrated care', 'health services research', 'primary care transformation', 'goal oriented care']",Introductionp The EU project Scirocco Exchange promotes knowledge sharing and implementation of integrated care at regional and local level within nine EU regions The Flemish Agency for Care and Health has been a partner of Scirocco Exchange since The Scirocco tool is a tool that measures the readiness and maturity for integrated care within a region or organization based on twelve dimensions The tool is used to identify strengths and areas for improvement for integrated care The use of the tool in first line care and the pathways towards the development of a policy plan was recommended by the VIVEL Board of Directors in January In addition Scirocco is showing interest in the concept of goal oriented care which VIVEL is also strongly promoting The tool still needs to be adapted to the Flemish first line care and to the concept of goal oriented carep Methodp The adaptation of the Scirocco tool is an iterative process in which several rounds are completed and the tool is adapted based on this feedback The first round is a brainstorming session with stakeholders from primary care including the Flemish Patients Platform In a next round members of a care council fill in the Scirocco tool according to the method of cognitive interviewing In a final round VIVEL provides feedback on the adapted Scirocco toolp Conclusionp The adapted Scirocco tool will support primary care councils in determining the strengths and weaknesses with regard to integrated care in the region Based on this the care councils can draw up their policy plan for the region,"['0504', '0303']",b adaptation of the scirocco tool and the dimension to the multidisciplinary practice of the primary care council review of the scirocco tool to the concept of goal orient care introductionp the eu project scirocco exchange promote knowledge sharing and implementation of integrate care at regional and local level within nine eu region the flemish agency for care and health have be a partner of scirocco exchange since the scirocco tool be a tool that measure the readiness and maturity for integrate care within a region or organization base on twelve dimension the tool be use to identify strength and area for improvement for integrated care the use of the tool in first line care and the pathway towards the development of a policy plan be recommend by the vivel board of director in january in addition scirocco be show interest in the concept of goal orient care which vivel be also strongly promote the tool still need to be adapt to the flemish first line care and to the concept of goal orient carep methodp the adaptation of the scirocco tool be an iterative process in which several round be complete and the tool be adapt base on this feedback the first round be a brainstorming session with stakeholder from primary care include the flemish patient platform in a next round member of a care council fill in the scirocco tool accord to the method of cognitive interviewing in a final round vivel provide feedback on the adapt scirocco toolp conclusionp the adapt scirocco tool will support primary care council in determine the strength and weakness with regard to integrate care in the region base on this the care council can draw up their policy plan for the region,2
1,1,3,3,27,19f5312e-0916-484c-bff5-ebf47f191ba8,The interaction between specification and information structure in English clefts pseudoclefts and specificational copulars ,"['impact evaluation in efficiency and mach', 'incumbent strategic policy behaviour', 'local governments’ performance and fisca']",This project develops a new take on specificational constructions icopular The best British beer is WATNEYS pseudocleft What we want is WATNEYS and it cleft ItWATNEYS that we want It criticizes the unwarranted restriction in the mainstream to the specificational constructions with exhaustiveness implicature cited above It reconceptualizes the field as offering a systematic choice between exhaustive and non exhaustive specificational constructions with copulars A popular British beer is WATNEYS pseudoclefts Something I want is WATNEYS and there clefts ThereWATNEYS that we want Intrinsic to this is the principled distinction between the lexicogrammatically coded value variable relation and the textual patterns that run through specificational constructions The referents of value and variable may or may not be discourse given and within specificational constructions varied patterns of prosodically marked focus marking are found These three different dimensions of patterning will be systematically investigated in sets of English spoken data Preliminary research suggests that contrary to common assumptions English specificational constructions typically and most frequently have foci on both value and variable This calls for new motivations of the informational functions of specificational constructions Important in this context is the aim to develop Essernotion of a hierarchy of foci on textual and technical phonological grounds ,"['0502', '0506']",b the interaction between specification and information structure in english cleft pseudocleft and specificational copular this project develop a new take on specificational construction icopular the good british beer be watney pseudocleft what we want be watney and it cleave itwatney that we want it criticize the unwarranted restriction in the mainstream to the specificational construction with exhaustiveness implicature cite above it reconceptualize the field as offer a systematic choice between exhaustive and non exhaustive specificational construction with copular a popular british beer be watney pseudocleft something I want be watney and there cleft therewatney that we want intrinsic to this be the principled distinction between the lexicogrammatically code value variable relation and the textual pattern that run through specificational construction the referent of value and variable may or may not be discourse give and within specificational construction vary pattern of prosodically mark focus mark be find these three different dimension of pattern will be systematically investigate in set of english speak data preliminary research suggest that contrary to common assumption english specificational construction typically and most frequently have focus on both value and variable this call for new motivation of the informational function of specificational construction important in this context be the aim to develop essernotion of a hierarchy of foci on textual and technical phonological ground,2
2,2,4,4,28,4ca2058a-f04d-445a-8c85-a20647ef0230,A crucial tool for mapping the inner interpreting Paultheology incentury East Syriac ascetic mystical literature ,"['east-syriac ascetic-mystical literature', 'pauline theology', 'biblical reception history']",Paul of Tarsus is a key figure in Christian culture but his place in Syriac Christianity has received surprisingly little attention This project will produce the first full analysis of an issue that so far has been only marginally touched upon by scholars the reception of Paultheology in Isaac of Ninevehc and John of Dalyatha and Joseph azzaya bothc the main exponents ofcentury East Syriac ascetic mystical thought These authors most central reflections are built firmly on crucial aspects of Pauline theology that they reworked in light of their focus on interiority and on the mindtransformation in askesis considering Paulthought as an essential tool for interpreting inner experience The project will examine these authors edited and unedited works in Syriac identifying and analyzing the main clusters of ideas that demonstrate Pauline influence and the similarities differences and links between their approaches Their distinctive hermeneutical method and the kind of normativity they attributed to Paul will also be examined This will make it possible to reconstruct the original map of the inner these writers outlined shedding light on a literature that is still partially unknown but that is crucial to our understanding of Syriac mystical theology The project will thus offer a contribution to the field of Eastern Christian Studies but also to that of Bible reception and of the history and phenomenology of religious experience,"['0602', '0603']",b a crucial tool for map the inner interpreting paultheology incentury east syriac ascetic mystical literature paul of tarsus be a key figure in christian culture but his place in syriac christianity have receive surprisingly little attention this project will produce the first full analysis of an issue that so far have be only marginally touch upon by scholar the reception of paultheology in isaac of ninevehc and john of dalyatha and joseph azzaya bothc the main exponent ofcentury east syriac ascetic mystical thought these author most central reflection be build firmly on crucial aspect of pauline theology that they rework in light of their focus on interiority and on the mindtransformation in askesis consider paulthought as an essential tool for interpret inner experience the project will examine these author edit and unedited work in syriac identify and analyze the main cluster of idea that demonstrate pauline influence and the similarity difference and link between their approach their distinctive hermeneutical method and the kind of normativity they attribute to paul will also be examine this will make it possible to reconstruct the original map of the inner these writer outline shed light on a literature that be still partially unknown but that be crucial to our understanding of syriac mystical theology the project will thus offer a contribution to the field of eastern christian study but also to that of bible reception and of the history and phenomenology of religious experience,2
3,3,5,5,31,1399d806-e7b0-409a-9dfe-b56b3e1fed2b,Development of advanced self calibration data reduction techniques for the SCIFY project ,"['scify', 'data analysis', 'interferometry', 'nulling', 'vlti', 'exoplanets', 'spectroscopy', 'self-calibration', 'data reduction']",SCIFY Self Calibrated Interferometry For exoplanet spectroscopy aims at building Hi a thermal near infrared microns high contrast nulling interferometric instrument for the visitor focus of the Very Large Telescope Interferometer VLTI By leveraging its state of the art infrastructure long baselines and strategic position in the Southern hemisphere a dedicated high contrast VLTI instrument will be able to carry out several exoplanet programmes to study young Jupiter like exoplanets at the most relevant angular separations iclose to the snow line and better understand how planets form and evolve This Phd will more specifically focus on the development of advanced self calibration data reduction techniques Current state of the art nulling interferometers are still operating one to two orders of magnitudes above the fundamental photon noise limit due to systematic errors caused by imperfect background subtraction and or residual phase variation SCIFY will tackle this problem by improving self calibration data processing techniques in three different ways add the possibility to process spectrally dispersed data spectral self calibration and investigate how to use the constructive output of the interferometer to remove residual starlight and telluric absorption from the destructive output generalise the self calibration algorithm to handle more than two telescopes and adapt the technique to classical phase referenced stellar interferometers such as VLTI GRAVITY in collaboration with NASA JPL The goal is to provide a new and more robust general purpose interferometric self calibration data reduction tool while preparing the data processing tool of Hi ,"['0101', '0103']",b development of advanced self calibration data reduction technique for the scify project scify self calibrate interferometry for exoplanet spectroscopy aim at build hi a thermal near infrared micron high contrast nulle interferometric instrument for the visitor focus of the very large telescope interferometer vlti by leverage its state of the art infrastructure long baseline and strategic position in the southern hemisphere a dedicated high contrast vlti instrument will be able to carry out several exoplanet programme to study young jupiter like exoplanet at the most relevant angular separation iclose to the snow line and well understand how planet form and evolve this phd will more specifically focus on the development of advanced self calibration data reduction technique current state of the art nulle interferometer be still operate one to two order of magnitude above the fundamental photon noise limit due to systematic error cause by imperfect background subtraction and or residual phase variation scify will tackle this problem by improve self calibration datum processing technique in three different way add the possibility to process spectrally disperse datum spectral self calibration and investigate how to use the constructive output of the interferometer to remove residual starlight and telluric absorption from the destructive output generalise the self calibration algorithm to handle more than two telescope and adapt the technique to classical phase reference stellar interferometer such as vlti gravity in collaboration with nasa jpl the goal be to provide a new and more robust general purpose interferometric self calibration data reduction tool while prepare the datum processing tool of hi,2
4,4,6,6,33,a5745337-1345-495c-92b2-5af2d0ac0d9e,Analysis of the intrahost evolutionary dynamics of LASV infections and its phylogeny,"['longitudinal cohort study', 'intra-host molecular evolution', 'next generation sequencing', 'lassa virus']",Lassa virus LASV is an endemic virus in West Africa that infects hundreds of thousands of individuals each year Humans primarily become infected through contact with rodents of the genus Mastomys that shed viruses in their urine and faeces About of people who become infected remain asymptomatic but in LASV infections result in an acute viral haemorrhagic illness No effective treatments or vaccines exist and little is known about the determinants of disease development In addition it remains unclear to what extent LASV may persist in survivors In this project we aim to disentangle the role of the viral genotype as well as intrahost evolution in disease outcome and persistence In collaboration with the Bernhard Nocht Institute for Tropical Medicine we will leverage the comprehensive sampling from two ongoing studies in Nigeria that monitor patients in a hospital ward as well as long term upon discharge The latter identified a considerable degree of persistence in particular in semen sampling We will generate whole genome deep sequencing data from multiple time points from patients that succumb to infection and patients that survive with varying degrees of persistence Using this data we will study the intrahost evolutionary dynamics including the role of immune escape in LASV infections Finally we will perform a large scale phylogenomics study to determine to what extent the viral genotype determines virulence and elucidate its molecular determinants ,"['0301', '0303']",b analysis of the intrahost evolutionary dynamic of lasv infection and its phylogeny lassa virus lasv be an endemic virus in west africa that infect hundred of thousand of individual each year human primarily become infect through contact with rodent of the genus mastomys that shed virus in their urine and faece about of people who become infected remain asymptomatic but in lasv infection result in an acute viral haemorrhagic illness no effective treatment or vaccine exist and little be know about the determinant of disease development in addition it remain unclear to what extent lasv may persist in survivor in this project we aim to disentangle the role of the viral genotype as well as intrahost evolution in disease outcome and persistence in collaboration with the bernhard nocht institute for tropical medicine we will leverage the comprehensive sampling from two ongoing study in nigeria that monitor patient in a hospital ward as well as long term upon discharge the latter identify a considerable degree of persistence in particular in semen sample we will generate whole genome deep sequence datum from multiple time point from patient that succumb to infection and patient that survive with vary degree of persistence use this datum we will study the intrahost evolutionary dynamic include the role of immune escape in lasv infection finally we will perform a large scale phylogenomic study to determine to what extent the viral genotype determine virulence and elucidate its molecular determinant,2
5,5,7,7,35,dfe6d6ea-6bfa-4794-a02b-808b6a872121,Resistances to gender and sexual equalities in Eastern partnership countries ethnonationalism and gendered nationhood in Georgia Moldova and Ukraine ,"['right-wing populism', 'anti-gender movements', 'eastern partnership countries']",The proposed project addresses the implications of growing right wing populism for gender and sexual equality in the Eastern Partnership EaP countries during the last decade Focusing on three EaP states Georgia Moldova and Ukraine the project seeks to examine how geopolitical and cultural context shapes political practices of right wing populist parties to answer the following Research QuestionsWhat are the political legal and social implications of right wing mobilization and backlash politics for Europeanization of national gender and sexual equality policies in Georgia Moldova and UkraineTo what extent may these new movements result in building a new far right paradigm in the regionThe purpose of this project is to answer these questions by examining anti gender mobilization and right wing populist groups activities resulting in four journal articles and a manuscript for a monograph The project goes beyond classical Political science research as it applies theoretical and methodological approaches including data collection methods from gender studies sociology human geography and anthropology As a core of the analytical framework the project will apply frame and critical discourse analysis as two complementary interpretative perspectives on the social interactions constituting social movements activity For the data collection and triangulation of results the project will include in depth interviews and participant observation,"['0504', '0506']",b resistance to gender and sexual equality in eastern partnership country ethnonationalism and gendere nationhood in georgia moldova and ukraine the propose project address the implication of grow right wing populism for gender and sexual equality in the eastern partnership eap country during the last decade focus on three eap state georgia moldova and ukraine the project seek to examine how geopolitical and cultural context shape political practice of right wing populist party to answer the follow research questionswhat be the political legal and social implication of right wing mobilization and backlash politic for europeanization of national gender and sexual equality policy in georgia moldova and ukraineto what extent may these new movement result in build a new far right paradigm in the regionthe purpose of this project be to answer these question by examine anti gender mobilization and right wing populist group activity result in four journal article and a manuscript for a monograph the project go beyond classical political science research as it apply theoretical and methodological approach include data collection method from gender study sociology human geography and anthropology as a core of the analytical framework the project will apply frame and critical discourse analysis as two complementary interpretative perspective on the social interaction constitute social movement activity for the data collection and triangulation of result the project will include in depth interview and participant observation,2
6,6,8,8,36,780ecd3a-faf4-48bd-a0fc-a7755ed50cba,Augustine of HippoDe civitate Dei in the Central Middle Agesth c Transmission History and Reception in Theological Debates,"[""augustine of hippo's de civitate dei"", 'reception studies', 'theological and political debate in the high middle ages']",My project centers on the reception and manuscript transmission of Augustine of HippoDe civitate Dei from thecentury to the first two decades of theAugustinemasterpiece has been one of the most influential works in shaping not only Christian identity but also Western culture as such Nonetheless its medieval Fortleben has received less attention than it deserves By providing the first encompassing study of its reception and manuscript transmission in the abovementioned timespan I will clarify the role of De civitate Dei in the genesis of medieval theological ecclesiological and political theories Moreover I will shed new light on the reuse of Augustinian authority in different contexts and for different and sometimes opposite purposes The project combines a horizontal line of enquiry which involves mapping and describing the quotations from De civitate Dei and its manuscript witnesses with a vertical perspective which entails an in depth examination of select clusters of works These are a the Libelli de lite Imperatorum et Pontificum produced in the context of the Investiture Controversy aimed at endorsing or opposing the so called Gregorian Church reform and b the works that took a stance in the controversy over the Eucharistic dogma This combination will enable me to assess the dissemination of De civitate Dei in the High Middle Ages from both a quantitative and qualitative perspective,"['0602', '0603']",b augustine of hippode civitate dei in the central middle agesth c transmission history and reception in theological debate my project center on the reception and manuscript transmission of augustine of hippode civitate dei from thecentury to the first two decade of theaugustinemasterpiece have be one of the most influential work in shape not only christian identity but also western culture as such nonetheless its medieval fortleben have receive less attention than it deserve by provide the first encompass study of its reception and manuscript transmission in the abovementioned timespan I will clarify the role of de civitate dei in the genesis of medieval theological ecclesiological and political theory moreover I will shed new light on the reuse of augustinian authority in different context and for different and sometimes opposite purpose the project combine a horizontal line of enquiry which involve mapping and describe the quotation from de civitate dei and its manuscript witness with a vertical perspective which entail an in depth examination of select cluster of work these be a the libelli de lite imperatorum et pontificum produce in the context of the investiture controversy aim at endorse or oppose the so call gregorian church reform and b the work that take a stance in the controversy over the eucharistic dogma this combination will enable I to assess the dissemination of de civitate dei in the high middle age from both a quantitative and qualitative perspective,2
7,7,9,9,39,9d8229d1-eba8-437a-bff7-05cf481ae85e,The Hazards of Hormones Risk Regulation and WomenHealth in the History of Hormones in Belgium,"['hormones', 'history of medicine', 'history of sexuality']",Hormones today are everywhere in pharmacies and hospitals on bedside tables and in handbags Millions of women ingest synthetic sex hormones to control their fertility for menstrual and menopausal problems to assist conception as abortifacients and for other reasons In our collective memory the rise of hormones mostly counts as a positive development giving rise to womenemancipation and sexual liberation Yet there also exists a popular counter narrative in which the widespread consumption of hormones is seen as an unethical experiment that damages womenhealth for the benefit of industry and the male medical establishmentbr Both these narratives lack nuance Yet whereas scholars have corrected the idea that the pill spawned a sexual revolution they have neglected the more sinister side of this history The rise of hormones was unprecedented both in terms of its rapidity and range but we know very little about the wider handling of their possible side effects This project studies how the risks of hormones in Belgium were managed by five actors the regulator the pharmaceutical industry the medical community the womenmovement and the patients rights movement Going beyond the history of oral contraceptives from the diethylstilbestrol DES scandal to the morning after pill this project will produce the first monograph recounting the interwoven histories of hormones and their hazards from their commercialisation in theup to the present day,"['0303', '0601']",b the hazard of hormone risk regulation and womenhealth in the history of hormone in belgium hormone today be everywhere in pharmacy and hospital on bedside table and in handbag million of woman ingest synthetic sex hormone to control their fertility for menstrual and menopausal problem to assist conception as abortifacient and for other reason in our collective memory the rise of hormone mostly count as a positive development give rise to womenemancipation and sexual liberation yet there also exist a popular counter narrative in which the widespread consumption of hormone be see as an unethical experiment that damage womenhealth for the benefit of industry and the male medical establishmentbr both these narrative lack nuance yet whereas scholar have correct the idea that the pill spawn a sexual revolution they have neglect the more sinister side of this history the rise of hormone be unprecedented both in term of its rapidity and range but we know very little about the wide handling of their possible side effect this project study how the risk of hormone in belgium be manage by five actor the regulator the pharmaceutical industry the medical community the womenmovement and the patient right movement go beyond the history of oral contraceptive from the diethylstilbestrol des scandal to the morning after pill this project will produce the first monograph recount the interwoven history of hormone and their hazard from their commercialisation in theup to the present day,2
8,8,10,10,40,d409ae69-0173-438c-88da-7c340aa12ad9,The spatial and temporal structure of visual object space in the human brain,"['object recognition', 'deep neural networks', 'neuroimaging']",Visual object recognition is a crucial ability in many aspects of human interactions with the surrounding environment Objects are represented in the lateral and ventral occipitotemporal cortex but it has proven to be difficult to distill an integrative view of the complex functional architecture of these regions Bao Nature proposed a comprehensive map of object space in inferior temporal cortex of monkeys the inferior temporal cortex is organized as a map with two main dimensions stubby spiky and animate inanimate However the study suffers from some limitations that we aim to resolve it is unclear to what extent we can extrapolate from monkeys to humans While overall their stimulus set dissociated stubby spiky from animate inanimate this was not true within stimulus classes and the other visual dimensions were not controlled between animate and inanimate stimuli Moreover they considered a unique object space along the ventral visual pathway that is not in line with observed transitions in representational content along the anatomical posterior to anterior axis in human Finally they didn t assess the time course with which model elements take part in object recognition The proposed project aims at examining the object space of Bao in human testing and finetuning their proposals based upon experiments that dissociate the relevant dimensions and characterizing the temporal dynamics of the refined object representation model,"['0301', '0501']",b the spatial and temporal structure of visual object space in the human brain visual object recognition be a crucial ability in many aspect of human interaction with the surround environment object be represent in the lateral and ventral occipitotemporal cortex but it have prove to be difficult to distill an integrative view of the complex functional architecture of these region bao nature propose a comprehensive map of object space in inferior temporal cortex of monkey the inferior temporal cortex be organize as a map with two main dimension stubby spiky and animate inanimate however the study suffer from some limitation that we aim to resolve it be unclear to what extent we can extrapolate from monkey to human while overall their stimulus set dissociate stubby spiky from animate inanimate this be not true within stimulus class and the other visual dimension be not control between animate and inanimate stimulus moreover they consider a unique object space along the ventral visual pathway that be not in line with observed transition in representational content along the anatomical posterior to anterior axis in human finally they didn t assess the time course with which model element take part in object recognition the propose project aim at examine the object space of bao in human testing and finetune their proposal base upon experiment that dissociate the relevant dimension and characterize the temporal dynamic of the refined object representation model,2
9,9,13,13,51,17ff2277-fbf0-4978-9333-7f0d515a4bc7,Decoding neural responses to sounds in patients with disorders of consciousness for diagnostics and unlocking communication,"['disorders of consciousness', 'diagnosis', 'brain computer interface', 'electroencephalography', 'prognosis', 'auditory evoked potential', 'naturalistic speech', 'communication']",Command following ithe ability to voluntarily execute a simple command is an important criterion in the diagnosis of patients with disorders of consciousness DOC Indeed it is assessed clinically through the use of behavioural scales such as the Coma Recovery Scale Revised CRS R and allows the distinction between patients with unresponsive wakefulness syndrome UWS and patients in a minimally conscious state MCS However DOC patients may have limited neuromuscular capacity which will alter some behavioural responses but lack of behavioural response does not necessarily mean lack of consciousness Moreover the behavioural assessment of these patients may also be altered by the subjectivity of the examiners It is therefore essential to develop objective and motor independent diagnostic and communication tools for these patients This would improve rehabilitation strategies quality of life and prognosis for this sensitive population Brain computer interface technology based on electroencephalography BCI EEG is a method used in conscious but severely motor disabled patients to allow them to interact with the environment regardless of their motor abilities Recent studies have focused on the use of BCI technology in DOC patients but currently it is still difficult to transpose this technology to patients with severe brain injuries Indeed these electrophysiological and behavioural assessments are based on instructions that must be understood to succeed in the task However little is known about each patientability to hear perceive and understand the instructions given Furthermore the patientmotivation and level of vigilance will also influence their ability to perform the requested task Failure to take into account the clinical reality of these patients which can vary considerably from one person to another would lead to a misdiagnosis of their level of consciousness The aim of this project is to develop a new objective and motor independent diagnostic tool based on brain computer interface technology coupled to the EEG This tool will integrate information concerning the patientability to hear perceive and understand instructions and will adapt to non stationarities in the state of the patientg fluctuation of vigilance motivation and alertness and signalg signal to noise artifact The overall goal of this project is to better understand and manage these patients ,"['0301', '0306']",b decode neural response to sound in patient with disorder of consciousness for diagnostic and unlock communication command follow ithe ability to voluntarily execute a simple command be an important criterion in the diagnosis of patient with disorder of consciousness doc indeed it be assess clinically through the use of behavioural scale such as the coma recovery scale revise crs r and allow the distinction between patient with unresponsive wakefulness syndrome uws and patient in a minimally conscious state mcs however doc patient may have limit neuromuscular capacity which will alter some behavioural response but lack of behavioural response do not necessarily mean lack of consciousness moreover the behavioural assessment of these patient may also be alter by the subjectivity of the examiner it be therefore essential to develop objective and motor independent diagnostic and communication tool for these patient this would improve rehabilitation strategy quality of life and prognosis for this sensitive population brain computer interface technology base on electroencephalography bci eeg be a method use in conscious but severely motor disabled patient to allow they to interact with the environment regardless of their motor ability recent study have focus on the use of bci technology in doc patient but currently it be still difficult to transpose this technology to patient with severe brain injury indeed these electrophysiological and behavioural assessment be base on instruction that must be understand to succeed in the task however little be know about each patientability to hear perceive and understand the instruction give furthermore the patientmotivation and level of vigilance will also influence their ability to perform the request task failure to take into account the clinical reality of these patient which can vary considerably from one person to another would lead to a misdiagnosis of their level of consciousness the aim of this project be to develop a new objective and motor independent diagnostic tool base on brain computer interface technology couple to the eeg this tool will integrate information concern the patientability to hear perceive and understand instruction and will adapt to non stationaritie in the state of the patientg fluctuation of vigilance motivation and alertness and signalg signal to noise artifact the overall goal of this project be to well understand and manage these patient,2
