id	label	x	y	cluster	weight<Links>	weight<Total link strength>
1	3004 Crop and Pasture Production	-0.5294	0.636	8	3	140
2	3006 Food Sciences	-0.7436	0.6011	8	4	96
3	3007 Forestry Sciences	-0.2297	0.3899	3	4	180
4	3101 Biochemistry and Cell Biology	-0.2728	0.4568	10	27	1148
5	3102 Bioinformatics and Computational Biology	-0.2346	0.565	10	9	412
6	3103 Ecology	-0.2154	0.4059	3	17	632
7	3104 Evolutionary Biology	-0.1036	0.4533	3	5	120
8	3105 Genetics	-0.0767	0.4772	10	19	680
9	3106 Industrial Biotechnology	-0.5809	0.5157	8	9	124
10	3107 Microbiology	-0.5117	0.6586	8	15	528
11	3108 Plant Biology	-0.499	0.5813	8	11	284
12	3109 Zoology	0.1245	0.3165	3	6	92
13	3201 Cardiovascular Medicine and Haematology	-0.0096	0.6429	10	8	148
14	3202 Clinical Sciences	0.1687	0.5342	11	20	1032
15	3204 Immunology	-0.3208	0.9752	10	9	1288
16	3205 Medical Biochemistry and Metabolomics	-0.709	0.3366	4	6	108
17	3206 Medical Biotechnology	-0.6192	0.2697	4	10	228
18	3207 Medical Microbiology	-0.394	0.839	8	7	832
19	3208 Medical Physiology	-0.0626	0.552	10	8	168
20	3209 Neurosciences	0.0805	0.3224	5	9	368
21	3211 Oncology and Carcinogenesis	-0.2479	0.7906	10	12	1412
22	3214 Pharmacology and Pharmaceutical Sciences	0.5415	0.4732	7	6	256
23	3215 Reproductive Medicine	0.4685	0.1691	2	9	148
24	3301 Architecture	-0.0179	-0.2292	6	14	284
25	3302 Building	-0.0859	-0.177	6	8	284
26	3303 Design	-0.2248	-0.1903	6	4	80
27	3304 Urban and Regional Planning	0.2332	-0.2816	6	4	232
28	3401 Analytical Chemistry	-0.7236	0.2449	4	6	148
29	3402 Inorganic Chemistry	-0.936	-0.072	4	6	184
30	3403 Macromolecular and Materials Chemistry	-0.814	-0.0405	4	14	732
31	3404 Medicinal and Biomolecular Chemistry	-0.3853	-0.076	6	10	128
32	3405 Organic Chemistry	-0.8852	-0.078	4	4	188
33	3406 Physical Chemistry	-0.9716	0.0515	4	8	424
34	3502 Banking, Finance and Investment	0.8244	-0.2679	1	4	156
35	3507 Strategy, Management and Organisational Behaviour	0.7899	-0.1919	1	18	256
36	3509 Transportation, Logistics and Supply Chains	0.1245	-0.2904	6	8	224
37	3601 Art History, Theory and Criticism	0.3507	-0.3314	2	10	160
38	3605 Screen and Digital Media	0.4912	-0.3805	2	6	192
39	3701 Atmospheric Sciences	-0.5966	0.3547	3	8	88
40	3705 Geology	-0.6652	0.3584	3	7	276
41	3707 Hydrology	-0.6058	0.3927	3	7	84
42	3708 Oceanography	-0.5729	0.4186	3	6	124
43	3709 Physical Geography and Environmental Geoscience	-0.6111	0.4007	3	7	280
44	3801 Applied Economics	0.9307	-0.2714	1	11	444
45	3802 Econometrics	1.0488	-0.3148	1	4	96
46	3803 Economic Theory	1.058	-0.3175	1	2	100
47	3901 Curriculum and Pedagogy	1.1537	0.0982	7	5	104
48	3903 Education Systems	1.1687	0.0872	7	3	80
49	4001 Aerospace Engineering	-0.6775	0.1056	6	6	80
50	4003 Biomedical Engineering	-0.3916	0.2634	4	18	276
51	4004 Chemical Engineering	-0.7527	0.5614	8	6	200
52	4005 Civil Engineering	-0.1796	-0.2074	6	5	288
53	4006 Communications Engineering	-0.376	-0.3719	5	6	236
54	4007 Control Engineering, Mechatronics and Robotics	-0.3527	-0.1899	6	9	188
55	4008 Electrical Engineering	-0.79	-0.3742	5	3	216
56	4009 Electronics, Sensors and Digital Hardware	-0.7776	-0.3392	5	11	324
57	4010 Engineering Practice and Education	-0.3095	-0.2098	6	4	104
